datetime,action,price,size,rsi,pnl_jpy,note
2026-04-25 09:06:11,BUY,12348544,0.0010,39.7,,本番
2026-04-26 15:31:32,SELL,12427540,0.0010,62.5,+79,本番 +0.64%
2026-04-28 01:12:03,BUY,12216237,0.0010,29.4,,本番
2026-04-29 18:24:17,SELL,12320158,0.0010,60.7,+104,本番 +0.85%
2026-05-08 00:56:16,BUY,12516602,0.0010,31.7,,本番
2026-05-10 03:05:41,SELL,12665531,0.0010,67.3,+149,本番 +1.19%
2026-05-13 02:22:51,BUY,12655932,0.0010,38.3,,本番
2026-05-15 02:14:39,SELL,12961482,0.0010,75.3,+306,本番 +2.41%
2026-05-16 01:18:29,BUY,12561860,0.0010,36.5,,本番
2026-05-20 18:52:01,SELL,12314720,0.0010,62.5,-247,本番 -1.97%
2026-05-23 00:16:35,BUY,12211967,0.0010,35.7,,本番
2026-05-24 06:04:45,SELL,12292622,0.0010,73.5,+81,本番 +0.66%
2026-05-26 13:21:05,BUY,12169646,0.0010,36.6,,本番
2026-05-30 23:45:26,SELL,11781997,0.0010,61.8,-388,本番 -3.19%
2026-06-01 01:20:22,BUY,11712419,0.0010,39.5,,本番
2026-06-07 14:48:11,SELL,9906189,0.0010,60.1,-1806,本番 -15.42%
2026-06-10 01:11:11,BUY,9792901,0.0010,25.4,,本番
2026-06-11 15:59:55,SELL,10066843,0.0010,61.7,+274,本番 +2.80%
2026-06-15 02:40:02,BUY,10223482,0.0010,37.4,,本番
2026-06-15 06:23:53,SELL,10342486,0.0010,60.7,+119,本番 +1.16%
2026-06-18 08:46:54,BUY,10337118,0.0010,38.5,,本番
2026-06-20 14:24:12,SELL,10269175,0.0010,60.8,-68,本番 -0.66%
2026-06-22 06:25:18,BUY,10261862,0.0010,38.1,,本番
2026-06-22 21:22:37,SELL,10460964,0.0010,63.0,+199,本番 +1.94%
2026-06-23 17:35:44,BUY,10033678,0.0010,23.7,,本番
2026-06-27 23:51:52,SELL,9797566,0.0010,60.2,-236,本番 -2.35%
2026-06-29 03:14:25,BUY,9636230,0.0010,36.4,,本番
2026-07-02 01:35:29,SELL,9755782,0.0010,67.3,+120,本番 +1.24%
2026-07-06 22:57:39,BUY,10039933,0.0010,33.6,,本番
2026-07-07 02:10:52,SELL,10358882,0.0010,65.8,+319,本番 +3.18%
2026-07-08 19:28:45,BUY,10075668,0.0010,35.0,,本番
2026-07-09 17:36:37,SELL,10215893,0.0010,61.4,+140,本番 +1.39%
2026-07-12 09:05:53,BUY,10322257,0.0010,39.5,,本番
2026-07-13 00:08:04,SELL,10421254,0.0010,61.5,+99,本番 +0.96%
